Full Name,Name,Status,Duration,Error,Stack Trace,Steps,Parent Suite,Suite,Sub Suite,Epic,Feature,Story
"tests.test_coverage_gaps#test_main_entrypoint","__main__ entrypoint invokes cli.main when executed as script","passed","1ms",,,,"Test infrastructure","Coverage gaps",,"Test infrastructure","Coverage gaps",
"tests.test_init#test_main_module","__main__ module delegates to cli.main","passed","1ms",,,"Monkeypatch cli.main and rebind __main__ passed (1ms)
 Invoke __main__ entry passed (0s)
   calls: [1] passed (0s)
  Verify cli.main was called passed (0s)","Package","Package metadata",,"Package","Package metadata","Main"
"tests.test_executors#test_infer_rag_domains","_infer_rag_domains detects config and stacks tokens","passed","1ms",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_code_search#test_python_search_file_edges","_python_search_file truncates long lines and handles read errors","passed","1ms",,,"Search file with long matching line passed (0s)
  hits: /tmp/pytest-of-runner/pytest-0/test_python_search_file_edges0/f.txt:1:needle xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx... passed (0s)
 Verify long line truncation passed (0s)
  Search missing file passed (0s)
    error hits: Error reading /tmp/pytest-of-runner/pytest-0/test_python_search_file_edges0/missing.txt: [Errno 2] No such file or directory: '/tmp/pytest-of-runner/pytest-0/test_python_search_file_edges0/missing.txt' passed (0s)
   Verify read error message passed (0s)","Code search","Search path resolution",,"Code search","Search path resolution","Python file scan"
"tests.test_code_search#test_python_search_tree","_python_search_tree respects skip dirs and name glob","passed","3ms",,,"Add hidden match under .git directory passed (0s)
 Scan projects tree with name glob passed (1ms)
   hits: projects/sample.js:1:const baseUrl = 'http://localhost'; passed (0s)
  Verify .git skipped and sample.js found passed (0s)
   name_glob filters non-matching files; limit stops early passed (1ms)","Code search","Search path resolution",,"Code search","Search path resolution","Python tree scan"
"tests.test_settings#test_read_yaml_missing","_read_yaml returns empty dict for missing file","passed","1ms",,,,"Configuration","Ollama settings",,"Configuration","Ollama settings","YAML"
"tests.test_settings#test_read_yaml_non_dict","_read_yaml returns empty dict for non-dict YAML","passed","1ms",,,,"Configuration","Ollama settings",,"Configuration","Ollama settings","YAML"
"tests.test_code_search#test_run_rg_timeout","_run_rg returns timeout message on expiry","passed","1ms",,,"Simulate ripgrep timeout passed (1ms)
  exit code: 124 passed (0s)
  output: Error: ripgrep timed out after 30s passed (0s)
 Verify timeout exit code and message passed (0s)","Code search","Search path resolution",,"Code search","Search path resolution","Ripgrep timeout"
"tests.test_settings#test_apply_ollama_env","apply_ollama_env sets OLLAMA_* when unset","passed","1ms",,,,"Configuration","Ollama settings",,"Configuration","Ollama settings","Env export"
"tests.test_context_audit#test_render_audit_includes_totals","Audit report includes totals section","passed","2ms",,,"Render context audit report passed (1ms)
  audit report: == Cursor context audit == | Always-on rules (.cursor/rules/*.mdc): 6 tokens | Skills on disk (.cursor/skills/*/SKILL.md): 6 tokens | Sampled docs: 0 tokens | Grand total (sampled set): 12 tokens | Always-on rules (charged every chat): |... passed (0s)
 Verify report sections and totals passed (0s)","Greedy token","Context audit",,"Greedy token","Context audit","Report rendering"
