Full Name,Name,Status,Duration,Error,Stack Trace,Steps,Parent Suite,Suite,Sub Suite,Epic,Feature,Story
"tests.test_context_audit#test_render_audit_includes_totals","Audit report includes totals section","passed","2ms",,,"Render context audit report passed (1ms)
 Verify report sections and totals passed (0s)","Token economy","Context audit",,"Token economy","Context audit","Report rendering"
"tests.test_tokens#test_count_texts_batch_matches_single","Batch token count matches individual counter calls","passed","1ms",,,"Count tokens in batch passed (1ms)
 Verify batch matches individual counts passed (0s)","Token economy","Token counting",,"Token economy","Token counting","Batch counting"
"tests.test_cli#test_cli_help","CLI --help lists route command","passed","115ms",,,"Run greedy-token CLI --help passed (115ms)
 Verify help mentions route command passed (0s)","CLI","greedy-token CLI",,"CLI","greedy-token CLI","Help"
"tests.test_cli_commands#test_cli_audit_context","CLI audit-context renders rules token audit","passed","272ms",,,"Run greedy-token audit-context passed (272ms)
 Verify context audit report sections passed (0s)","CLI","CLI commands",,"CLI","CLI commands","Audit context"
"tests.test_cli_commands#test_cli_compress_stdin","CLI compress reads stdin and prints short prompt","passed","281ms",,,"Run greedy-token compress with stdin input passed (281ms)
 Verify compressed prompt retains baseUrl passed (0s)","CLI","CLI commands",,"CLI","CLI commands","Compress"
"tests.test_cli_commands#test_cli_config_init","CLI config --init creates user config under HOME","passed","110ms",,,"Run greedy-token config --init passed (110ms)
 Verify user config file was created passed (0s)","CLI","CLI commands",,"CLI","CLI commands","Config"
"tests.test_cli_commands#test_cli_config_shows_settings","CLI config shows Ollama settings","passed","112ms",,,"Run greedy-token config passed (112ms)
 Verify Ollama settings are shown passed (0s)","CLI","CLI commands",,"CLI","CLI commands","Config"
"tests.test_cli_commands#test_cli_estimate_shows_tier_scan","CLI estimate prints tier scan and token estimate","passed","346ms",,,"Run greedy-token estimate passed (345ms)
 Verify tier scan and task context in output passed (0s)","CLI","CLI commands",,"CLI","CLI commands","Estimate"
"tests.test_cli_commands#test_cli_pipeline_execute_search_rag","CLI pipeline --execute runs search and RAG steps","passed","290ms",,,"Run greedy-token pipeline --execute passed (289ms)
 Verify search and RAG results in output passed (0s)","CLI","CLI commands",,"CLI","CLI commands","Pipeline"
"tests.test_cli#test_cli_pipeline_list","CLI pipeline --list shows named recipes","passed","107ms",,,"Run greedy-token pipeline --list passed (107ms)
 Verify meta-audit recipe is listed passed (0s)","CLI","greedy-token CLI",,"CLI","greedy-token CLI","Pipeline"
