Full Name,Name,Status,Duration,Error,Stack Trace,Steps,Parent Suite,Suite,Sub Suite,Epic,Feature,Story
"tests.test_coverage_gaps#test_init_version_fallback","__init__ falls back when package metadata is unavailable","passed","1ms",,,,"Test infrastructure","Coverage gaps",,"Test infrastructure","Coverage gaps",
"tests.test_coverage_gaps#test_main_entrypoint","__main__ entrypoint invokes cli.main when executed as script","passed","0s",,,,"Test infrastructure","Coverage gaps",,"Test infrastructure","Coverage gaps",
"tests.test_init#test_main_module","__main__ module delegates to cli.main","passed","0s",,,,"Package","Package metadata",,"Package","Package metadata","Main"
"tests.test_executors#test_infer_rag_domains","_infer_rag_domains detects e2e and stacks tokens","passed","0s",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_code_search#test_python_search_file_edges","_python_search_file truncates long lines and handles read errors","passed","0s",,,,"Code search","Search path resolution",,"Code search","Search path resolution","Python file scan"
"tests.test_code_search#test_python_search_tree","_python_search_tree respects skip dirs and name glob","passed","2ms",,,,"Code search","Search path resolution",,"Code search","Search path resolution","Python tree scan"
"tests.test_settings#test_read_yaml_missing","_read_yaml returns empty dict for missing file","passed","0s",,,,"Configuration","Ollama settings",,"Configuration","Ollama settings","YAML"
"tests.test_settings#test_read_yaml_non_dict","_read_yaml returns empty dict for non-dict YAML","passed","1ms",,,,"Configuration","Ollama settings",,"Configuration","Ollama settings","YAML"
"tests.test_coverage_gaps#test_rg_candidates_exhaustive","_rg_candidates yields all fallback paths","passed","1ms",,,,"Test infrastructure","Coverage gaps",,"Test infrastructure","Coverage gaps",
"tests.test_code_search#test_run_rg_timeout","_run_rg returns timeout message on expiry","passed","0s",,,,"Code search","Search path resolution",,"Code search","Search path resolution","Ripgrep timeout"
"tests.test_settings#test_apply_ollama_env","apply_ollama_env sets OLLAMA_* when unset","passed","1ms",,,,"Configuration","Ollama settings",,"Configuration","Ollama settings","Env export"
"tests.test_context_audit#test_render_audit_includes_totals","Audit report includes totals section","passed","2ms",,,"Render context audit report passed (2ms)
  audit report: == Cursor context audit == | Always-on rules (.cursor/rules/*.mdc): 6 tokens | Skills on disk (.cursor/skills/*/SKILL.md): 6 tokens | Sampled docs: 0 tokens | Grand total (sampled set): 12 tokens | Always-on rules (charged every chat): |... passed (0s)
 Verify report sections and totals passed (0s)","Token economy","Context audit",,"Token economy","Context audit","Report rendering"
"tests.test_context_audit#test_render_audit_cache_hint","Audit report shows cache hint when rules exceed threshold","passed","3ms",,,,"Token economy","Context audit",,"Token economy","Context audit","Report rendering"
"tests.test_context_audit#test_audit_context_skips_dirs","audit_context skips non-file glob matches","passed","2ms",,,,"Token economy","Context audit",,"Token economy","Context audit","Rules scan"
"tests.test_tokens#test_count_texts_batch_matches_single","Batch token count matches individual counter calls","passed","1ms",,,"Count tokens in batch passed (0s)
  batch counts: [ | { | ""tokens"": 1, | ""method"": ""tiktoken/cl100k_base"" | }, | { | ""tokens"": 2, | ""method"": ""tiktoken/cl100k_base"" | } | ] passed (0s)
 Verify batch matches individual counts passed (0s)","Token economy","Token counting",,"Token economy","Token counting","Batch counting"
"tests.test_cli_handlers#test_build_parser_subcommands","build_parser exposes all subcommands","passed","4ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Parser"
"tests.test_usage#test_build_script_and_compress_events","build_script_event and build_compress_event populate fields","passed","2ms",,,,"Token economy","Usage telemetry",,"Token economy","Usage telemetry","Event builders"
"tests.test_usage#test_build_tier_scan","build_tier_scan returns rows for all tiers","passed","24ms",,,,"Token economy","Usage telemetry",,"Token economy","Usage telemetry","Tier scan helper"
"tests.test_cli#test_cli_help","CLI --help lists route command","passed","105ms",,,"Run greedy-token CLI --help passed (105ms)
  stdout: usage: greedy-token [-h] [--no-log] | {route,estimate,run,audit-context,tokens,rag,compress,scripts,report,config,pipeline} | ... | Task orchestrator: tool | Python | Ollama | RAG | Cursor | positional arguments: | {route,estimate,run,au... passed (1ms)
 Verify help mentions route command passed (0s)","CLI","greedy-token CLI",,"CLI","greedy-token CLI","Help"
