Full Name,Name,Status,Duration,Error,Stack Trace,Steps,Parent Suite,Suite,Sub Suite,Epic,Feature,Story
"tests.test_context_audit#test_render_audit_includes_totals","Audit report includes totals section","passed","1ms",,,,"Token economy","Context audit",,"Token economy","Context audit","Report rendering"
"tests.test_tokens#test_count_texts_batch_matches_single","Batch token count matches individual counter calls","passed","1ms",,,,"Token economy","Token counting",,"Token economy","Token counting","Batch counting"
"tests.test_cli#test_cli_help","CLI --help lists route command","passed","118ms",,,,"CLI","greedy-token CLI",,"CLI","greedy-token CLI","Help"
"tests.test_cli_commands#test_cli_audit_context","CLI audit-context renders rules token audit","passed","273ms",,,,"CLI","CLI commands",,"CLI","CLI commands","Audit context"
"tests.test_cli_commands#test_cli_compress_stdin","CLI compress reads stdin and prints short prompt","passed","275ms",,,,"CLI","CLI commands",,"CLI","CLI commands","Compress"
"tests.test_cli_commands#test_cli_config_init","CLI config --init creates user config under HOME","passed","110ms",,,,"CLI","CLI commands",,"CLI","CLI commands","Config"
"tests.test_cli_commands#test_cli_config_shows_settings","CLI config shows Ollama settings","passed","110ms",,,,"CLI","CLI commands",,"CLI","CLI commands","Config"
"tests.test_cli_commands#test_cli_estimate_shows_tier_scan","CLI estimate prints tier scan and token estimate","passed","339ms",,,,"CLI","CLI commands",,"CLI","CLI commands","Estimate"
"tests.test_cli_commands#test_cli_pipeline_execute_search_rag","CLI pipeline --execute runs search and RAG steps","passed","291ms",,,,"CLI","CLI commands",,"CLI","CLI commands","Pipeline"
"tests.test_cli#test_cli_pipeline_list","CLI pipeline --list shows named recipes","passed","111ms",,,,"CLI","greedy-token CLI",,"CLI","greedy-token CLI","Pipeline"
"tests.test_cli_commands#test_cli_rag_query","CLI rag searches docs/rag chunks","passed","284ms",,,,"CLI","CLI commands",,"CLI","CLI commands","RAG"
"tests.test_cli_commands#test_cli_report_json","CLI report --json returns aggregate summary JSON","passed","111ms",,,,"CLI","CLI commands",,"CLI","CLI commands","Report"
"tests.test_cli#test_cli_route_tool","CLI route recommends tool tier for find task","passed","327ms",,,,"CLI","greedy-token CLI",,"CLI","greedy-token CLI","Route"
"tests.test_cli_commands#test_cli_run_execute_find_task","CLI run --execute runs read-only find task","passed","343ms",,,,"CLI","CLI commands",,"CLI","CLI commands","Run"
"tests.test_cli_commands#test_cli_run_dry_run_shows_plan","CLI run dry-run prints plan without executing","passed","328ms",,,,"CLI","CLI commands",,"CLI","CLI commands","Run"
"tests.test_cli_commands#test_cli_scripts_list","CLI scripts --list shows wrapper registry","passed","145ms",,,,"CLI","CLI commands",,"CLI","CLI commands","Scripts"
"tests.test_cli_commands#test_cli_scripts_run_execute_check_meta_sync","CLI scripts --run check-meta-sync --execute runs wrapper","passed","281ms",,,,"CLI","CLI commands",,"CLI","CLI commands","Scripts"
"tests.test_cli_commands#test_cli_tokens_counts_file","CLI tokens counts tokens in workspace file","passed","271ms",,,,"CLI","CLI commands",,"CLI","CLI commands","Tokens"
"tests.test_tool_paths#test_search_code_works_without_path_env","Code search works when PATH is empty but Cursor rg exists","skipped","0s","Skipped: monorepo root not found (parent workspace checkout required)","('/home/runner/work/greedy-token/greedy-token/tests/test_tool_paths.py', 35, 'Skipped: monorepo root not found (parent workspace checkout required)')",,"Code search","Ripgrep resolution",,"Code search","Ripgrep resolution","Monorepo search"
"tests.test_usage#test_logging_disabled","Conditional append skips write when logging disabled","passed","0s",,,,"Token economy","Usage telemetry",,"Token economy","Usage telemetry","Logging toggle"
"tests.test_context_audit#test_audit_context_finds_rules","Context audit discovers always-on Cursor rules","passed","1ms",,,,"Token economy","Context audit",,"Token economy","Context audit","Rules scan"
"tests.test_usage#test_cursor_baseline_includes_overhead","Cursor baseline includes agent overhead tokens","passed","1ms",,,,"Token economy","Usage telemetry",,"Token economy","Usage telemetry","Baseline"
"tests.test_estimator#test_cursor_baseline_includes_rules_task_and_overhead","Cursor baseline sums always-on rules, task, and agent overhead","passed","1ms",,,,"Token economy","Task estimator",,"Token economy","Task estimator","Cursor baseline"
"tests.test_estimator#test_cursor_saved_for_tool_tier","Cursor saved equals baseline minus spent for tool tier","passed","2ms",,,,"Token economy","Task estimator",,"Token economy","Task estimator","Savings"
"tests.test_estimator#test_cursor_saved_for_cursor_target_is_zero","Cursor saved is zero when route target is cursor","passed","1ms",,,,"Token economy","Task estimator",,"Token economy","Task estimator","Savings"
"tests.test_usage#test_cursor_saved_tool","Cursor savings is reported for tool tier","passed","1ms",,,,"Token economy","Usage telemetry",,"Token economy","Usage telemetry","Savings estimate"
"tests.test_usage#test_cursor_saved_cursor","Cursor savings is zero for cursor tier","passed","0s",,,,"Token economy","Usage telemetry",,"Token economy","Usage telemetry","Savings estimate"
"tests.test_budget#test_format_tool_footer_cursor_no_savings","Cursor tier footer shows zero savings","passed","10ms",,,,"Token economy","Token budget",,"Token economy","Token budget","Tool footer"
"tests.test_prompt_compress#test_format_dual_wraps_blocks","Dual-format output wraps long and short prompt blocks","passed","0s",,,,"Prompt compression","Heuristic compress",,"Prompt compression","Heuristic compress","Dual format"
"tests.test_estimator#test_estimate_task_find_routes_to_tool","Estimate task routes find to tool with positive savings","passed","10ms",,,,"Token economy","Task estimator",,"Token economy","Task estimator","Estimate task"
"tests.test_estimator#test_estimate_task_ollama_unavailable_note","Estimate task sets ollama note when Ollama route is unavailable","passed","10ms",,,,"Token economy","Task estimator",,"Token economy","Task estimator","Estimate task"
"tests.test_usage#test_aggregate_by_tier","Event aggregator groups events by tier and route","passed","0s",,,,"Token economy","Usage telemetry",,"Token economy","Usage telemetry","Aggregation"
"tests.test_usage#test_load_events_reads_archives","Event loader reads current log and rotated archives","passed","1ms",,,,"Token economy","Usage telemetry",,"Token economy","Usage telemetry","Archives"
"tests.test_usage#test_load_events_skips_bad_lines","Event loader skips malformed JSON lines","passed","0s",,,,"Token economy","Usage telemetry",,"Token economy","Usage telemetry","Log loading"
"tests.test_pyramid_layers#test_every_test_module_has_pyramid_layer","Every test module has a pyramid layer mapping","passed","0s",,,,"Test infrastructure","Pyramid layers",,"Test infrastructure","Pyramid layers","Module mapping"
"tests.test_executors#test_execute_plan_refuses_non_readonly","Execute plan refuses non-read-only Ollama route","passed","8ms",,,,"Routing","Task execution",,"Routing","Task execution","Execute safety"
"tests.test_executors#test_execute_task_rag_route_returns_hits","Execute task on RAG route returns formatted doc hits","passed","8ms",,,,"Routing","Task execution",,"Routing","Task execution","RAG tier"
"tests.test_executors#test_execute_task_tool_finds_baseurl","Execute task runs ripgrep and returns matches without RAG fallback","failed","11ms","AssertionError: assert True is False
 +  where True = TaskRunResult(decision=RouteDecision(target='tool', route_id='tool-rg-search', confidence=0.594, matched=['find'], command=""cd /tmp/pytest-of-runner/pytest-0/test_execute_task_tool_finds_b0 && rg -n --max-columns 200 -F baseUrl -g '!.git/**' -g '!node_modules/**' -g '!build/**' -g '!.venv/**' -g '!.cursor/hooks/**' --max-count 50 projects docs stacks scripts generators"", note='0 tokens — ripgrep before RAG/Cursor', domains=[], complexity='low', est_tokens=0, rationale='Mechanical search — ripgrep/jq, zero LLM tokens. 0 tokens — ripgrep before RAG/Cursor', read_only=True, tool='rg'), output='rg: нет полезных совпадений для «baseUrl» → fallback RAG\n\nRAG hits for: find baseUrl in sample.js\n\n1. [test-baseurl] score=4.0  (e2e)\n   docs/rag/e2e/test-chunk.md\n\nbaseUrl is configured via -DbaseUrl flag in Gradle.\n\n---', used_rag_fallback=True, exit_code=0).used_rag_fallback","minimal_workspace = PosixPath('/tmp/pytest-of-runner/pytest-0/test_execute_task_tool_finds_b0')

    @allure.story(""Tool tier"")
    @allure.title(""Execute task runs ripgrep and returns matches without RAG fallback"")
    def test_execute_task_tool_finds_baseurl(minimal_workspace: Path) -> None:
        result = execute_task(""find baseUrl in sample.js"", minimal_workspace)
        assert result.decision.target == ""tool""
>       assert result.used_rag_fallback is False
E       assert True is False
E        +  where True = TaskRunResult(decision=RouteDecision(target='tool', route_id='tool-rg-search', confidence=0.594, matched=['find'], command=""cd /tmp/pytest-of-runner/pytest-0/test_execute_task_tool_finds_b0 && rg -n --max-columns 200 -F baseUrl -g '!.git/**' -g '!node_modules/**' -g '!build/**' -g '!.venv/**' -g '!.cursor/hooks/**' --max-count 50 projects docs stacks scripts generators"", note='0 tokens — ripgrep before RAG/Cursor', domains=[], complexity='low', est_tokens=0, rationale='Mechanical search — ripgrep/jq, zero LLM tokens. 0 tokens — ripgrep before RAG/Cursor', read_only=True, tool='rg'), output='rg: нет полезных совпадений для «baseUrl» → fallback RAG\n\nRAG hits for: find baseUrl in sample.js\n\n1. [test-baseurl] score=4.0  (e2e)\n   docs/rag/e2e/test-chunk.md\n\nbaseUrl is configured via -DbaseUrl flag in Gradle.\n\n---', used_rag_fallback=True, exit_code=0).used_rag_fallback

tests/test_executors.py:26: AssertionError",,"Routing","Task execution",,"Routing","Task execution","Tool tier"
"tests.test_search#test_extract_search_query","Extract search query `baseUrl` from task","passed","0s",,,,"Routing","Tool search helpers",,"Routing","Tool search helpers","Query extraction"
"tests.test_search#test_extract_search_query","Extract search query `baseUrl` from task","passed","0s",,,,"Routing","Tool search helpers",,"Routing","Tool search helpers","Query extraction"
"tests.test_search#test_extract_search_query","Extract search query `ConfigReader` from task","passed","0s",,,,"Routing","Tool search helpers",,"Routing","Tool search helpers","Query extraction"
