Full Name,Name,Status,Duration,Error,Stack Trace,Steps,Parent Suite,Suite,Sub Suite,Epic,Feature,Story
"tests.test_coverage_gaps#test_main_entrypoint","__main__ entrypoint invokes cli.main when executed as script","passed","1ms",,,,"Test infrastructure","Coverage gaps",,"Test infrastructure","Coverage gaps",
"tests.test_init#test_main_module","__main__ module delegates to cli.main","passed","1ms",,,"Monkeypatch cli.main and rebind __main__ passed (0s)
 Invoke __main__ entry passed (0s)
   calls: [1] passed (0s)
  Verify cli.main was called passed (0s)","Package","Package metadata",,"Package","Package metadata","Main"
"tests.test_hub_gaps#test_aggregate_filters","_aggregate honours since and root filters","passed","0s",,,,"Hub","Hub gaps",,"Hub","Local ops dashboard",
"tests.test_router_gaps#test_thin_context_penalty_noop","_apply_thin_context_penalty is a no-op for non-cheap tiers or no edit verbs","passed","1ms",,,,"Router","Router gaps",,"Router","Route status",
"tests.test_router_gaps#test_thin_context_penalty_dedup","_apply_thin_context_penalty skips duplicate note/rationale text","passed","0s",,,,"Router","Router gaps",,"Router","Route status",
"tests.test_budget_gaps#test_billing_tier_from_event","_billing_tier_from_event covers dict, legacy, selected fallbacks","passed","1ms",,,,"Budget","Budget gaps",,"Budget","Split budget",
"tests.test_expensive_llm#test_yandex_native_no_alternatives","_chat_yandex_native raises when no alternatives","passed","1ms",,,,"Expensive LLM","Expensive LLM",,"Expensive LLM","YandexGPT adapter",
"tests.test_budget_gaps#test_cost_from_event_malformed","_cost_from_event ignores malformed cost fields","passed","0s",,,,"Budget","Budget gaps",,"Budget","Split budget",
"tests.test_budget_gaps#test_float_fallback","_float falls back on None and bad values","passed","0s",,,,"Budget","Budget gaps",,"Budget","Split budget",
"tests.test_expensive_llm#test_folder_from_env","_folder_from_env reads either env var","passed","0s",,,,"Expensive LLM","Expensive LLM",,"Expensive LLM","YandexGPT adapter",
"tests.test_resource_probe_gaps#test_gpu_info","_gpu_info: Darwin Apple, Darwin non-apple, Darwin error, nvidia, nvidia error","passed","0s",,,,"Resource probe","Resource probe gaps",,"Resource probe","Hardware + Ollama doctor",
